"home_team","away_team","date","home_spread","home_win_prob"
"Arkansas Razorbacks","Colgate Raiders",2021-03-19,-8.5,0.7727
"Baylor Bears","Hartford Hawks",2021-03-19,-25.5,0.9473
"Clemson Tigers","Rutgers Scarlet Knights",2021-03-19,1.5,0.4675
"Florida Gators","Virginia Tech Hokies",2021-03-19,1,0.4783
"Houston Cougars","Cleveland St Vikings",2021-03-19,-20,0.9363
"Illinois Fighting Illini","Drexel Dragons",2021-03-19,-22,0.9337
"Loyola (Chi) Ramblers","Georgia Tech Yellow Jackets",2021-03-19,-5.5,0.6794
"North Carolina Tar Heels","Wisconsin Badgers",2021-03-19,-1.5,0.5325
"Ohio State Buckeyes","Oral Roberts Golden Eagles",2021-03-19,-15.5,0.8901
"Oklahoma St Cowboys","Liberty Flames",2021-03-19,-7,0.725
"Purdue Boilermakers","North Texas Mean Green",2021-03-19,-7,0.7246
"San Diego St Aztecs","Syracuse Orange",2021-03-19,-3,0.5876
"Tennessee Volunteers","Oregon St Beavers",2021-03-19,-8.5,0.7832
"Texas Tech Red Raiders","Utah State Aggies",2021-03-19,-4,0.6275
"Villanova Wildcats","Winthrop Eagles",2021-03-19,-6.5,0.7082
"West Virginia Mountaineers","Morehead St Eagles",2021-03-19,-13,0.8721
"Alabama Crimson Tide","Iona Gaels",2021-03-20,-16.5,0.9129
"BYU Cougars","UCLA Bruins",2021-03-20,-3.5,0.611
"Colorado Buffaloes","Georgetown Hoyas",2021-03-20,-5.5,0.6699
"Creighton Bluejays","UC Santa Barbara Gauchos",2021-03-20,-7.5,0.7451
"Florida St Seminoles","UNC Greensboro Spartans",2021-03-20,-10.5,0.8392
"Gonzaga Bulldogs","Norfolk St Spartans",2021-03-20,-33,0.9639
"Iowa Hawkeyes","Grand Canyon Antelopes",2021-03-20,-14,0.8996
"Kansas Jayhawks","Eastern Washington Eagles",2021-03-20,-10.5,0.8357
"LSU Tigers","St. Bonaventure Bonnies",2021-03-20,-2,0.5366
"Michigan Wolverines","Texas Southern Tigers",2021-03-20,-25.5,0.9626
"Oklahoma Sooners","Missouri Tigers",2021-03-20,1,0.4934
"Oregon Ducks","VCU Rams",2021-03-20,-5.5,0.6699
"Texas Longhorns","Abilene Christian Wildcats",2021-03-20,-8.5,0.7821
"UConn Huskies","Maryland Terrapins",2021-03-20,-3,0.5947
"USC Trojans","Drake Bulldogs",2021-03-20,-6.5,0.7082
"Virginia Cavaliers","Ohio Bobcats",2021-03-20,-7,0.7277
"Arkansas Razorbacks","Texas Tech Red Raiders",2021-03-21,2,0.4544
"Baylor Bears","Wisconsin Badgers",2021-03-21,-6.5,0.7113
"Florida Gators","Oral Roberts Golden Eagles",2021-03-21,-9,0.7867
"Houston Cougars","Rutgers Scarlet Knights",2021-03-21,-7.5,0.7505
"Illinois Fighting Illini","Loyola (Chi) Ramblers",2021-03-21,-6.5,0.7327
"Oklahoma St Cowboys","Oregon St Beavers",2021-03-21,-6,0.7002
"Villanova Wildcats","North Texas Mean Green",2021-03-21,-6,0.7019
"West Virginia Mountaineers","Syracuse Orange",2021-03-21,-4,0.6187
"Alabama Crimson Tide","Maryland Terrapins",2021-03-22,-6,0.6919
"Creighton Bluejays","Ohio Bobcats",2021-03-22,-5.5,0.6699
"Florida St Seminoles","Colorado Buffaloes",2021-03-22,-1.5,0.5325
"Gonzaga Bulldogs","Oklahoma Sooners",2021-03-22,-14,0.9033
"Iowa Hawkeyes","Oregon Ducks",2021-03-22,-5,0.6588
"Kansas Jayhawks","USC Trojans",2021-03-22,1.5,0.4783
"Michigan Wolverines","LSU Tigers",2021-03-22,-5,0.65
"UCLA Bruins","Abilene Christian Wildcats",2021-03-22,-5,0.6486
"Arkansas Razorbacks","Oral Roberts Golden Eagles",2021-03-27,-11.5,0.8368
"Baylor Bears","Villanova Wildcats",2021-03-27,-7.5,0.7425
"Houston Cougars","Syracuse Orange",2021-03-27,-6.5,0.7082
"Loyola (Chi) Ramblers","Oregon St Beavers",2021-03-27,-6.5,0.6998
"Alabama Crimson Tide","UCLA Bruins",2021-03-28,-6.5,0.7082
"Gonzaga Bulldogs","Creighton Bluejays",2021-03-28,-13,0.8767
"Michigan Wolverines","Florida St Seminoles",2021-03-28,-2,0.5628
"USC Trojans","Oregon Ducks",2021-03-28,-2,0.5387
"Baylor Bears","Arkansas Razorbacks",2021-03-29,-7.5,0.7567
"Houston Cougars","Oregon St Beavers",2021-03-29,-7.5,0.7505
"Gonzaga Bulldogs","USC Trojans",2021-03-30,-8.5,0.7904
"Michigan Wolverines","UCLA Bruins",2021-03-30,-6.5,0.7277
"Baylor Bears","Houston Cougars",2021-04-03,-5,0.6603
"Gonzaga Bulldogs","UCLA Bruins",2021-04-03,-14.5,0.882
"Gonzaga Bulldogs","Baylor Bears",2021-04-05,-4.5,0.6471
