round,region,seed_a,team_a,score_a,seed_b,team_b,score_b,winner,date
R64,East,1,Duke,71,16,Siena,65,Duke,2026-03-19
R64,East,8,Ohio State,64,9,TCU,66,TCU,2026-03-19
R64,East,6,Louisville,83,11,South Florida,79,Louisville,2026-03-19
R64,East,3,Michigan State,92,14,North Dakota State,67,Michigan State,2026-03-19
R64,South,5,Vanderbilt,78,12,McNeese State,68,Vanderbilt,2026-03-19
R64,South,4,Nebraska,76,13,Troy,47,Nebraska,2026-03-19
R64,South,6,North Carolina,78,11,VCU,82,VCU,2026-03-19
R64,South,3,Illinois,105,14,Penn,70,Illinois,2026-03-19
R64,South,7,Saint Mary's,50,10,Texas A&M,63,Texas A&M,2026-03-19
R64,South,2,Houston,78,15,Idaho,47,Houston,2026-03-19
R64,West,5,Wisconsin,82,12,High Point,83,High Point,2026-03-19
R64,West,4,Arkansas,97,13,Hawaii,78,Arkansas,2026-03-19
R64,West,6,BYU,71,11,Texas,79,Texas,2026-03-19
R64,West,3,Gonzaga,65,14,Kennesaw State,56,Gonzaga,2026-03-19
R64,Midwest,1,Michigan,101,16,Howard,80,Michigan,2026-03-19
R64,Midwest,8,Georgia,77,9,Saint Louis,102,Saint Louis,2026-03-19
