Slate ID,Entry Name,Entry ID,Previous Picks,Day 1 (Round of 64),Day 2 (Round of 64),Day 3 (Round of 32),Pick 1,Pick Objective,Instructions,Team Name,Team ID,Game Info
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 1,019d02ba-61bd-43c6-9d49-0bf90d579364,NA,Houston,Virginia,Illinois,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,1. Locate the team(s) you want to select in the list to the right,Purdue,b94a5674-927b-4b6d-91bb-776da741e0aa,MIA@PUR 03/22/2026 12:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 2,019d02ba-61bd-457b-889b-23b94e31a972,NA,Houston,Florida,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,2. Copy the ID of the team(s),Miami (FL),4c8b8317-c6db-46d3-9e57-43cad4d49607,MIA@PUR 03/22/2026 12:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 3,019d02ba-61bd-47b8-a5d8-de0368869459,NA,Houston,Purdue,Illinois,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,3. Paste the ID into the desired entry under the Pick column,Iowa State,b46ec7e5-fa6c-451f-945e-5e535024bcc4,UK@ISU 03/22/2026 2:45pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 4,019d02ba-61bd-4974-acab-6847f7cafaf9,NA,Houston,UConn,Illinois,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,4. The Team ID is the only text that can be input into the cell,Kentucky,6fdf8f76-e295-4406-b5a5-0e77fb53a5ee,UK@ISU 03/22/2026 2:45pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 5,019d02ba-61bd-4b43-8470-00be8c8c2a1c,NA,Houston,Kansas,Michigan,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,"5. Do not make edits anywhere in the sheet, or else the file will be invalid",Kansas,77e8940e-cb31-42c7-bca0-271249909a4b,SJU@KU 03/22/2026 5:15pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 6,019d02ba-61bd-4c06-a456-0333b282264c,NA,Illinois,Florida,Arkansas,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,NA,St. John's,7c049b43-d637-406d-b50f-5e4a2beb629a,SJU@KU 03/22/2026 5:15pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 7,019d02ba-61bd-4d16-aee3-503787a92058,NA,Illinois,Alabama,Arkansas,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,Pick Winners,NA,Virginia,840e7069-b4c0-4780-8cd1-95b66ad88ceb,TENN@UVA 03/22/2026 6:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 8,019d02ba-61bd-4f24-9fb3-9d440d77d0d1,NA,Illinois,Tennessee,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,Tennessee,1e4ab2a3-cec8-4ebd-96a2-7d62e9e1a24e,TENN@UVA 03/22/2026 6:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 9,019d02ba-61bd-4f85-888d-f7f98c7a9805,NA,Gonzaga,Virginia,Arkansas,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,Florida,2ea39297-9b1d-4908-b4dc-392274c18b3a,IOWA@FLA 03/22/2026 7:10pm ET
e9b488eb-225f-4c69-aa4a-dc87c81271f6,Entry 10,019d02ba-61bd-4fe9-8693-3f900839ac0e,NA,Gonzaga,Virginia,Illinois,2ea39297-9b1d-4908-b4dc-392274c18b3a,Pick Winners,NA,Iowa,7533674c-1b62-4252-9d3e-3de38e7fd3c6,IOWA@FLA 03/22/2026 7:10pm ET
,,,,,,,,,,Arizona,5ea7c1aa-0bfc-47e8-8435-28821e1bf209,USU@ARIZ 03/22/2026 7:50pm ET
,,,,,,,,,,Utah State,bd55c7eb-7658-4eac-b14a-59dfd6d29e05,USU@ARIZ 03/22/2026 7:50pm ET
,,,,,,,,,,UConn,57ef2016-6591-4b7a-b588-59a749c25529,UCLA@CONN 03/22/2026 8:45pm ET
,,,,,,,,,,UCLA,7095cbb4-4c8d-4438-acf1-b0dcea0f20d1,UCLA@CONN 03/22/2026 8:45pm ET
,,,,,,,,,,Alabama,12207ee4-a390-477d-a4a7-7aa3f49430aa,TTU@ALA 03/22/2026 9:45pm ET
,,,,,,,,,,Texas Tech,44d666f4-2c56-401f-871c-33df244ba155,TTU@ALA 03/22/2026 9:45pm ET
